+====================+===================+=========================================================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                                                     |
+====================+===================+=========================================================================================================================================+
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[0]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[0]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/acquisition_complete_reg/D                                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[5]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[8]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[1]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[2]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[7]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[14]/D                                                                      |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[15]/D                                                                |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[13]/D                                                                |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[4]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[3]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[10]/D                                                                |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[1]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[15]/D                                                                      |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[8]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[11]/D                                                                      |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[3]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[12]/D                                                                |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[4]/D                                                                 |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/sample_count_reg[9]/D                                                                       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/ad9280_scop_0/inst/adc_core_inst/total_sample_count_reg[11]/D                                                                |
